tenant_id,property_id,first_name,last_name,email,phone,date_of_birth,lease_start_date,lease_end_date,lease_term_months,monthly_rent,security_deposit,annual_income,credit_score,num_occupants,pet_owner,employment_status,tenant_status
TEN0001,PROP0045,Kelly,Delacruz,antoniopatterson@example.org,809.839.6791x424,2000-08-23,2026-03-02,2028-02-20,24,1883,2420,39329,669,4,Yes,Employed,Active
TEN0002,PROP0043,Robert,Martin,mtucker@example.net,001-443-895-4773,1968-04-06,2024-10-06,2025-10-01,12,1479,3319,39359,580,5,No,Employed,Active
TEN0003,PROP0047,Cory,Carter,stevensmith@example.net,+1-994-954-2363x043,1984-12-21,2025-05-25,2027-05-15,24,3011,4845,65683,806,4,Yes,Employed,Inactive
TEN0004,PROP0051,Kristi,Castro,michael93@example.org,+1-786-776-3056x6606,1974-03-11,2022-12-10,2024-06-02,18,1737,969,33390,596,3,Yes,Self-Employed,Active
TEN0005,PROP0079,Michael,Vasquez,jennifer78@example.net,001-323-256-6839x136,1991-06-25,2023-04-19,2025-04-08,24,3197,4370,66458,642,4,Yes,Employed,Active
TEN0006,PROP0051,Richard,Johnson,patrickwilliams@example.com,913-405-1711,1995-09-28,2023-02-16,2023-08-15,6,2150,4172,142424,632,4,No,Employed,Active
TEN0007,PROP0083,Caroline,Estrada,jerry62@example.com,499-521-6145,1988-07-16,2023-10-09,2024-04-06,6,2088,2867,89614,595,3,Yes,Student,Active
TEN0008,PROP0078,Alexandra,Bradley,bweaver@example.org,+1-684-711-6696x2097,1991-02-16,2022-09-04,2023-03-03,6,2492,1244,116200,786,2,No,Employed,Active
TEN0009,PROP0068,Becky,Mejia,lewiskenneth@example.org,284-521-4120x888,1980-01-05,2025-04-28,2025-10-25,6,3049,1873,56680,686,3,No,Retired,Active
TEN0010,PROP0004,Bethany,Young,rhonda00@example.com,(423)702-6563x84684,1972-02-25,2023-12-22,2024-12-16,12,2072,912,123032,631,5,No,Employed,Evicted
TEN0011,PROP0017,Edward,Reilly,gdavis@example.com,882.212.9379x5354,2003-02-04,2025-09-20,2027-09-10,24,2841,3190,45396,628,5,No,Employed,Active
TEN0012,PROP0073,Nancy,Howell,brownsteve@example.org,(427)286-7825,1992-03-21,2023-03-14,2024-03-08,12,2371,2361,89871,624,5,Yes,Retired,Active
TEN0013,PROP0065,Brendan,Richardson,wwaller@example.net,001-584-778-5120x92690,1969-06-30,2025-10-19,2027-04-12,18,1894,821,133247,809,3,No,Self-Employed,Active
TEN0014,PROP0098,Amanda,Bradley,rmerritt@example.com,+1-710-546-2718,1987-11-13,2025-10-25,2027-10-15,24,2629,4767,143411,626,3,No,Employed,Active
TEN0015,PROP0070,Tony,Jordan,sheila73@example.org,3834883523,1969-03-29,2025-06-03,2026-11-25,18,1778,3937,143980,646,2,No,Employed,Active
TEN0016,PROP0058,Jessica,Holmes,todd27@example.com,+1-216-469-6362x2290,1978-02-15,2025-05-28,2027-05-18,24,2828,1103,116991,627,2,No,Retired,Inactive
TEN0017,PROP0068,Christopher,Price,keithfernandez@example.org,735-922-4881,2000-04-07,2025-07-29,2026-01-25,6,862,1980,98937,783,4,Yes,Employed,Active
TEN0018,PROP0042,Brian,Charles,hernandezlaura@example.org,729-552-4377x645,2000-01-30,2024-04-13,2025-10-05,18,3461,1457,111691,753,3,No,Student,Active
TEN0019,PROP0075,Caitlyn,Reed,sullivannicholas@example.net,335.980.0049x87317,1956-01-12,2025-07-14,2026-01-10,6,1761,3154,110931,585,2,Yes,Employed,Active
TEN0020,PROP0095,Christopher,Daniels,davidadams@example.net,001-885-364-6436x238,1964-11-02,2022-08-22,2023-02-18,6,2026,1037,88153,635,1,No,Self-Employed,Active
TEN0021,PROP0057,Carrie,Gamble,meganevans@example.net,+1-419-807-5637x212,1965-02-12,2023-01-05,2024-12-25,24,2975,4175,49080,675,5,Yes,Employed,Active
TEN0022,PROP0058,Tammy,Griffin,ole@example.net,+1-872-599-4189x960,1968-12-09,2025-05-22,2026-05-17,12,1751,4577,95230,623,3,No,Employed,Active
TEN0023,PROP0072,Jennifer,Ellis,roy43@example.net,(218)877-7160x5545,1966-07-17,2026-01-05,2027-06-29,18,1102,4418,118815,630,3,No,Employed,Active
TEN0024,PROP0041,Jeffrey,Young,mmcdowell@example.com,671-637-1562,1955-07-30,2024-11-25,2026-11-15,24,1615,3951,140795,704,4,Yes,Employed,Active
TEN0025,PROP0086,Timothy,White,christina38@example.org,+1-361-877-0169x22272,1960-11-25,2025-06-10,2026-12-02,18,889,4042,121655,701,3,Yes,Employed,Active
TEN0026,PROP0009,Michael,Wong,williamstaylor@example.net,514.849.6680,1996-02-06,2023-03-09,2025-02-26,24,1742,3686,139161,696,2,Yes,Employed,Active
TEN0027,PROP0098,Jessica,Casey,katiekelly@example.net,(978)918-4026,1979-05-25,2024-12-09,2025-12-04,12,3370,1122,112345,599,3,No,Employed,Active
TEN0028,PROP0020,Courtney,Thornton,clarkjoshua@example.org,351.831.0526x4536,1988-03-29,2024-11-19,2025-05-18,6,2138,4203,149226,701,2,Yes,Employed,Active
TEN0029,PROP0056,Chris,Rice,susan55@example.org,001-228-657-1563,1979-07-21,2023-03-27,2024-09-17,18,1852,4747,138851,634,3,No,Self-Employed,Active
TEN0030,PROP0012,David,Ramos,meredithrandall@example.org,348.333.2196x12631,2003-08-18,2023-07-09,2024-07-03,12,2427,3796,128848,665,1,No,Employed,Active
TEN0031,PROP0070,Christopher,Barnett,keithwilson@example.org,471.229.7917,1993-07-11,2023-12-31,2025-06-23,18,3194,3921,118188,684,3,Yes,Employed,Active
TEN0032,PROP0092,Sarah,Craig,rogerslynn@example.com,262.692.1081x0040,2003-11-15,2023-06-11,2024-12-02,18,3452,1317,149964,663,4,No,Employed,Active
TEN0033,PROP0008,Amber,Melton,amber81@example.org,230-977-6011x87475,1985-05-23,2023-04-25,2023-10-22,6,1275,1596,69893,802,2,Yes,Employed,Active
TEN0034,PROP0082,Taylor,Calhoun,sandra44@example.com,+1-900-560-9366x5010,2002-05-02,2024-11-23,2026-11-13,24,2499,1611,106983,629,4,No,Retired,Active
TEN0035,PROP0057,Stephanie,Curtis,john16@example.com,(982)945-2982x472,1969-07-26,2025-10-11,2026-10-06,12,1767,3771,88115,777,1,No,Employed,Evicted
TEN0036,PROP0055,Brittany,Mejia,michael50@example.com,418-905-7258x161,1987-06-11,2024-02-01,2024-07-30,6,1577,1800,82184,691,4,Yes,Employed,Active
TEN0037,PROP0089,Mary,Murray,mhernandez@example.com,001-461-815-5981x91188,1977-04-10,2022-06-07,2022-12-04,6,1797,1831,36629,720,5,Yes,Employed,Active
